,subject,subjectId,title,G,GS,MIN,TS%,eFG%,FTRate,OR%,DR%,AST%,TO%,STL%,BLK%,Usg%,+/-,PPP,position,PTS,2P%,%2P,FGM,FGA,FGM-A,FG%,3PM,3PA,3PM-A,3P-R,2PM,2PA,2PM-A,FTM,FTA,FTM-A,ORB,DRB,REB,AST,TO,3P%,%3P,STL,FT%,player_id,Spot-Up_count,Spot-Up_percent,Spot-Up_ppp,Cut_count,Cut_percent,Cut_ppp,Transition_count,Transition_percent,Transition_ppp,P&R Roll Man_count,P&R Roll Man_percent,P&R Roll Man_ppp,Off Screen_count,Off Screen_percent,Off Screen_ppp,Hand Off_count,Hand Off_percent,Hand Off_ppp,P&R Ball Handler_count,P&R Ball Handler_percent,P&R Ball Handler_ppp,Offensive Rebound_count,Offensive Rebound_percent,Offensive Rebound_ppp,ISO_count,ISO_percent,ISO_ppp,No Play Type_count,No Play Type_percent,No Play Type_ppp
121,player,6A-yxIe5SHi6hh9yjadFsA,,2,0,1.89167,0.0,0.0,0.0,0.0,27.9,0.0,0.0,25.4,0.0,11.0,0.5,0.0,F,0.0,,0.0,0.0,0.5,0.0-0.5,0.0,0.0,0.5,0.0-0.5,,0.0,0.0,0.0-0.0,0.0,0.0,0.0-0.0,,,,0.0,0.0,0.0,100.0,1.0,,6A-yxIe5SHi6hh9yjadFsA,3.0,75.0,0.0,,,,,,,,,,1.0,25.0,2.0,,,,,,,,,,,,,,,
122,player,MIlf24GfSIusMNB_6sPeAw,,13,0,10.26026,54.2,57.7,30.8,12.2,28.9,11.6,27.1,1.4,3.3,12.6,-1.2,0.79,C,2.5,57.7,100.0,1.2,2.0,1.2-2.0,57.7,0.0,0.0,0.0-0.0,,1.2,2.0,1.2-2.0,0.2,0.6,0.2-0.6,,,,1.0,0.8,,0.0,0.3,25.0,MIlf24GfSIusMNB_6sPeAw,,,,19.0,29.6875,1.368421052631579,4.0,6.25,1.5,20.0,31.25,1.3,,,,,,,,,,19.0,29.6875,0.9473684210526315,,,,,,
123,player,aUAg0edaRFi-VQ7vKPo7dQ,,20,20,36.02833,53.3,49.4,23.3,1.4,10.2,24.3,10.2,1.9,1.5,23.3,6.4,0.96,G,18.7,47.0,62.9,6.8,15.9,6.8-15.9,42.8,2.1,5.9,2.1-5.9,,4.7,10.0,4.7-10.0,3.0,3.7,3.0-3.7,,,,6.2,2.0,35.6,37.1,1.5,81.1,aUAg0edaRFi-VQ7vKPo7dQ,53.0,9.981167608286253,0.8113207547169812,30.0,5.649717514124294,1.3333333333333333,90.0,16.94915254237288,1.4777777777777779,3.0,0.5649717514124294,1.6666666666666667,29.0,5.4613935969868175,1.0,71.0,13.370998116760829,0.9577464788732394,171.0,32.20338983050847,1.0116959064327486,7.0,1.3182674199623352,1.5714285714285714,43.0,8.097928436911488,0.9534883720930233,17.0,3.2015065913371,1.1176470588235294
124,player,N3cw9bb2SJKV9lyGpLSBmA,,16,0,4.90729,41.7,43.5,21.7,2.9,6.5,6.5,7.4,0.6,2.3,14.6,-4.2,0.77,F-C,1.3,66.7,65.2,0.6,1.4,0.6-1.4,43.5,0.0,0.5,0.0-0.5,,0.6,0.9,0.6-0.9,0.1,0.3,0.1-0.3,,,,0.2,0.1,0.0,34.8,0.1,20.0,N3cw9bb2SJKV9lyGpLSBmA,10.0,33.33333333333333,0.2,7.0,23.333333333333332,1.0,7.0,23.333333333333332,1.4285714285714286,5.0,16.666666666666664,0.8,,,,,,,,,,1.0,3.3333333333333335,2.0,,,,,,
125,player,GO39xHfeS_Cmh1ADFhTPhw,,5,0,8.20333,80.0,80.0,0.0,2.7,9.7,22.3,28.6,1.1,0.0,6.9,3.8,1.15,G,1.6,100.0,20.0,0.6,1.0,0.6-1.0,60.0,0.4,0.8,0.4-0.8,,0.2,0.2,0.2-0.2,0.0,0.0,0.0-0.0,,,,1.6,0.4,50.0,80.0,0.2,,GO39xHfeS_Cmh1ADFhTPhw,10.0,41.66666666666667,1.3,1.0,4.166666666666666,2.0,2.0,8.333333333333332,2.5,,,,,,,,,,8.0,33.33333333333333,1.0,,,,2.0,8.333333333333332,3.0,1.0,4.166666666666666,0.0
126,player,8m46OP5WTi6Ko5Hwhbk_rA,,25,25,35.06333,60.9,59.5,17.9,5.1,16.6,11.4,8.0,1.2,0.9,19.8,4.6,1.12,F,18.4,60.7,57.3,7.2,14.0,7.2-14.0,51.3,2.3,6.0,2.3-6.0,,4.9,8.0,4.9-8.0,1.7,2.5,1.7-2.5,,,,2.8,1.3,38.7,42.7,0.9,68.3,8m46OP5WTi6Ko5Hwhbk_rA,123.0,23.03370786516854,1.5040650406504066,65.0,12.172284644194757,1.676923076923077,96.0,17.97752808988764,1.3229166666666667,8.0,1.4981273408239701,0.25,74.0,13.857677902621724,1.054054054054054,84.0,15.730337078651685,1.0476190476190477,22.0,4.119850187265917,1.4090909090909092,39.0,7.303370786516854,1.0512820512820513,6.0,1.1235955056179776,1.1666666666666667,16.0,2.9962546816479403,0.8125
127,player,vTmynUocQJS3oLfJxyF8tQ,,20,6,13.60667,39.9,36.2,15.0,7.2,20.3,10.6,20.5,2.1,0.0,17.0,-4.3,0.63,F-C,3.4,33.3,52.5,1.2,4.0,1.2-4.0,30.0,0.5,1.9,0.5-1.9,,0.7,2.1,0.7-2.1,0.5,0.6,0.5-0.6,,,,1.1,1.1,26.3,47.5,0.6,83.3,vTmynUocQJS3oLfJxyF8tQ,40.0,38.46153846153847,0.9,8.0,7.6923076923076925,1.0,6.0,5.769230769230769,0.0,22.0,21.153846153846153,0.7272727272727273,,,,,,,,,,8.0,7.6923076923076925,1.25,2.0,1.9230769230769231,0.0,2.0,1.9230769230769231,2.0
128,player,AL-5joHMRCynKDnNpsj7gg,,25,0,20.65267,60.3,56.7,25.1,1.5,9.2,8.9,10.4,1.6,1.7,17.3,-5.8,1.08,G,9.2,54.1,49.7,3.2,6.8,3.2-6.8,46.8,1.4,3.4,1.4-3.4,,1.8,3.4,1.8-3.4,1.4,1.7,1.4-1.7,,,,1.4,0.9,39.5,50.3,0.7,81.4,AL-5joHMRCynKDnNpsj7gg,84.0,28.767123287671232,1.2857142857142858,8.0,2.73972602739726,1.75,63.0,21.575342465753426,1.3015873015873016,3.0,1.0273972602739725,2.0,31.0,10.616438356164384,0.8387096774193549,46.0,15.753424657534246,0.9782608695652174,27.0,9.246575342465754,1.0,10.0,3.4246575342465753,1.6,7.0,2.3972602739726026,0.2857142857142857,13.0,4.4520547945205475,1.1538461538461537
129,player,En4A6XLjReS-hpT-0tag3Q,,17,0,9.23529,63.6,56.2,40.6,5.9,15.4,7.0,17.5,0.9,1.7,12.3,-1.8,1.05,F,2.8,69.2,40.6,0.9,1.9,0.9-1.9,46.9,0.4,1.1,0.4-1.1,,0.5,0.8,0.5-0.8,0.7,0.8,0.7-0.8,,,,0.5,0.5,31.6,59.4,0.2,92.3,En4A6XLjReS-hpT-0tag3Q,15.0,28.30188679245283,0.8,8.0,15.09433962264151,1.625,14.0,26.41509433962264,1.0,4.0,7.547169811320755,1.25,1.0,1.8867924528301887,0.0,2.0,3.7735849056603774,3.0,2.0,3.7735849056603774,0.0,2.0,3.7735849056603774,1.0,1.0,1.8867924528301887,0.0,4.0,7.547169811320755,1.75
130,player,sp0roSwVSkmTk0Jh56MNQA,,25,12,24.29467,59.4,55.4,33.1,4.9,9.9,6.3,9.5,1.6,3.2,14.6,-0.6,1.08,G,9.0,55.4,67.5,3.3,6.6,3.3-6.6,49.4,0.8,2.2,0.8-2.2,,2.5,4.5,2.5-4.5,1.7,2.2,1.7-2.2,,,,1.2,0.8,37.0,32.5,0.8,76.4,sp0roSwVSkmTk0Jh56MNQA,88.0,32.0,1.0681818181818181,43.0,15.636363636363637,1.3488372093023255,93.0,33.81818181818182,1.1827956989247312,18.0,6.545454545454546,1.1666666666666667,1.0,0.36363636363636365,0.0,2.0,0.7272727272727273,0.0,6.0,2.181818181818182,1.3333333333333333,12.0,4.363636363636364,1.25,7.0,2.5454545454545454,1.1428571428571428,4.0,1.4545454545454546,0.5
